# Untangle file format: One statement per line.  Two kinds of statements:
# v: $x_coord $y_coord    -> Create a vertex with x and y coordinates, 0 <= coord <= 1.
# e: $vert1 $vert2        -> Create an edge between vertex #1 and #2 (0-based index)
#                            Both vertices must already be declared.
v: 0.435302, 0.397696
v: 0.682549, 0.637104
v: 0.438882, 0.475447
v: 0.033296, 0.627244
v: 0.124852, 0.020475
v: 0.129419, 0.655989
v: 0.211654, 0.531981
v: 0.579881, 0.421322
v: 0.439231, 0.136563
v: 0.829104, 0.068911
v: 0.898131, 0.822111
v: 0.363441, 0.176510
v: 0.629668, 0.135713
v: 0.288841, 0.742266
v: 0.105888, 0.057942
v: 0.272289, 0.631671
v: 0.909655, 0.353583
v: 0.142736, 0.831200
v: 0.966537, 0.926686
v: 0.296199, 0.327158
v: 0.705604, 0.900739
v: 0.601687, 0.868351
v: 0.015939, 0.559892
v: 0.838825, 0.200429
v: 0.752737, 0.630047
e: 0, 1
e: 0, 2
e: 0, 3
e: 0, 4
e: 0, 5
e: 0, 6
e: 0, 7
e: 0, 8
e: 0, 9
e: 0, 10
e: 0, 11
e: 0, 12
e: 0, 13
e: 0, 14
e: 0, 15
e: 0, 16
e: 0, 17
e: 0, 18
e: 0, 19
e: 0, 20
e: 0, 21
e: 0, 22
e: 0, 23
e: 0, 24
e: 1, 7
e: 1, 9
e: 2, 9
e: 2, 19
e: 3, 8
e: 3, 16
e: 3, 18
e: 4, 13
e: 4, 17
e: 4, 18
e: 5, 15
e: 5, 20
e: 5, 21
e: 5, 22
e: 6, 11
e: 6, 20
e: 7, 9
e: 7, 12
e: 7, 19
e: 7, 23
e: 7, 24
e: 8, 18
e: 9, 19
e: 10, 15
e: 10, 20
e: 11, 19
e: 11, 20
e: 12, 17
e: 12, 19
e: 12, 23
e: 13, 17
e: 14, 15
e: 14, 22
e: 15, 20
e: 15, 22
e: 16, 21
e: 17, 18
e: 19, 20
e: 20, 21
e: 23, 24
